id,title,context,question,answers
302,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 37.15737258. While addressing scope 3 emissions is a significant challenge for airlines, it also presents an opportunity for innovation and collaboration across the industry. By working together, airlines can find new ways to reduce their carbon footprint and create a more sustainable future for air travel.",What is the Scope 3Carbon Emissions for GOL LUXCO SA?,"{'answer_start': [31], 'text': ['37.15737258']}"
303,Fuel,"XYZ airline has set a target of reducing carbon emissions by 30% by 2030. As part of this target, the airline has been investing in sustainable aviation fuel (SAF) and has signed contracts to purchase SAF from various suppliers. As of 2022, approximately 40% of the fuel used by XYZ airline is sustainable. The airline plans to increase this percentage in the coming years by increasing its investment in SAF and exploring other sustainable fuel options.",What percentage of fuel used by XYZ airline is sustainable?,"{'answer_start': [-1], 'text': ['0.4']}"
304,modern slavery score,"The modern slavery score is 8. The COVID-19 pandemic has highlighted the importance of modern slavery risk management in supply chains, as global disruptions have led to increased vulnerabilities and risks for workers. Airlines must remain vigilant and adaptable in their efforts to prevent and address modern slavery risks in the post-pandemic world.",what is the modern slavery score for GOL LUXCO SA?,"{'answer_start': [28], 'text': ['8']}"
305,Carbon emissions per passenger mile,"United Airlines has set a goal to reduce its carbon emissions per passenger mile by 50% by 2050. To achieve this goal, United is investing in sustainable aviation fuels (SAFs) that have lower carbon emissions than traditional jet fuel. The airline has committed to purchasing 1.5 billion gallons of SAF over the next 20 years, which is expected to reduce its carbon emissions by 3 million metric tons. United is also using more fuel-efficient aircraft and implementing operational changes to reduce fuel consumption.",What is an airline's carbon emissions per passenger mile?,"{'answer_start': [-1], 'text': ['0.28 pounds of CO2 per passenger mile']}"
306,How many carbon offset projects has the airline supported?,"American Airlines has supported 7 carbon offset projects as part of its carbon offset program, which allows customers to offset the carbon emissions from",Carbon Offsetting,"{'answer_start': [32], 'text': ['7']}"
307,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 167.7071634.Consumers can also play a role in addressing scope 3 emissions by choosing airlines that prioritize sustainability and have strong sustainability initiatives in place. By choosing airlines that are committed to reducing their carbon footprint, consumers can encourage the industry to prioritize sustainability and reduce their impact on the environment.",What is the Scope 3Carbon Emissions for RYANAIR?,"{'answer_start': [31], 'text': ['167.7071634']}"
308,Spills,"Amazon spokesperson Alisa Carroll said in an emailed statement to Salon that the incident ""was handled in accordance with our approved environmental containment and remediation plans and at no point did it present any safety concerns to personnel or operations at our facility.""",how much is (was) Spills recorded?,"{'answer_start': [-1], 'text': ['No answer exists']}"
309,Scope 1+2 Carbon Emissions,"Carbon emissions from airlines have been rising steadily over the past few decades, as air travel has become more accessible and affordable for people around the world. In recent years, there has been growing concern about the impact of aviation on the environment and the need to reduce carbon emissions.The Scope 1+2 Carbon Emissions is 887.9.",What is the Scope 1+2 Carbon Emissions for AADVANTAGE LOYALITY?,"{'answer_start': [339], 'text': ['887.9']}"
310,controversy total count,"The controversy total count was 0.001245237.One of the most high-profile controversies in the airline industry in recent years has been around safety, particularly following the tragic crashes of two Boeing 737 MAX planes in 2018 and 2019. The incidents raised serious questions about the safety of the aircraft and led to the grounding of the planes worldwide.",what was the controversy total count for PEGASUS HAVA TASIMACILIGI AS? ,"{'answer_start': [32], 'text': ['0.001245237']}"
311,employee vaccination rate,"By the end of 2021, Delta had a 95% domestic employee vaccination rate.",What is the domestic employee vaccination rate in Delta?,"{'answer_start': [32], 'text': ['95%']}"
312,aviation accidents,No. of accidents: 0,how much is (was) aviation accidents in 2020?,"{'answer_start': [18], 'text': ['0']}"
313,SGD Revenue,"SGD Revenue is 0 %. Cargo transport is another important source of revenue for airlines, and the Singapore market is a major center for air freight. The city-state is home to one of the busiest cargo airports in the world, with a significant portion of the cargo transported being high-value goods such as electronics, pharmaceuticals, and aerospace components.","what is the SGD Revenue % for SKYMILES IP LTD. (DELTA AIR LINES, INC.)?","{'answer_start': [15], 'text': ['0']}"
314,waste generation,"According to a report by the nonprofit organization The Points Guy, US airlines generated an average of 9.4 pounds of waste per passenger in 2019. This includes items such as food packaging, amenity kits, and other disposable items. Some airlines are working to reduce waste by implementing more sustainable practices, such as using compostable materials and reducing the amount of single-use plastics.",How much waste do airlines generate annually in the US?,"{'answer_start': [-1], 'text': ['9.4 pounds per passenger']}"
315,controversy total count,"The controversy total count was 0.024395957.Accidents, near-misses, and other safety incidents can lead to public scrutiny and controversy, as passengers and stakeholders demand answers and accountability.",what was the controversy total count for ? ,"{'answer_start': [32], 'text': ['0.024395957']}"
316,REV PASS MILES,"Rev Pass miles can be redeemed for a range of benefits, such as free flights, upgrades, lounge access, and other travel perks. The more miles a passenger earns, the greater the benefits they can access.The REV PASS MILES is 627.9797577.",What is the rev pass miles for AIR CANADA?,"{'answer_start': [224], 'text': ['627.9797577']}"
317,modern slavery score,"The modern slavery score is 8. The modern slavery score can also serve as a tool for investors and consumers to evaluate the ethical performance of airlines. As investors and consumers increasingly demand transparency and accountability in supply chains, companies with strong modern slavery scores may have a competitive advantage in the marketplace.",what is the modern slavery score for PEGASUS HAVA TASIMACILIGI AS?,"{'answer_start': [28], 'text': ['8']}"
318,Solid waste disposed to landfill,"The Material is from table. Thus, the context is same from answer. There is no data for solid wast disposed to landfill in 2021 and 2020. There was 3,370 in 2019, 3,261 in 2018, and 3,090 ",How much solid waste disposed to landfill,"{'answer_start': [67], 'text': ['There is no data for solid wast disposed to landfill in 2021 and 2020. There was 3,370 in 2019, 3,261 in 2018, and 3,090 ']}"
319,Spills,"Large fuel spills are unacceptable as they can be devastating to people and animals and no spill is ideal. In 2014, there were 31 spill incidents, with a total volume of 76 gallons occurring over all. None of these incidents was serious enough to be counted as a violation or regulatory noncompliance.",how much is (was) Spills recorded?,"{'answer_start': [170], 'text': ['76']}"
320,Energy Intensity,"In 2019, Southwest Airlines reported an energy intensity of 1.62 megajoules per available seat mile. The airline has set a goal of reducing its energy intensity by 10% by 2025. Southwest has implemented several measures to reduce its energy consumption, such as using LED lighting in its facilities and optimizing flight paths for fuel efficiency. Additionally, the airline has implemented several waste reduction programs, including composting, recycling, and donation efforts. Southwest has set a goal of sourcing at least 3 billion gallons of sustainable aviation fuel annually by 2030 and achieving carbon neutrality for its global operations by 2050.",What is an airline's energy intensity per available seat mile?,"{'answer_start': [60], 'text': ['1.62 megajoules']}"
321,aviation accidents,"flight domestic flight from JFK airport in New York to St. Thomas, VI. The aircraft overran the runway after an unsuccessful attempt at aborting the landing, striking an antenna and proceeding through a fence before hitting a gas station. There were 0 accidents.",how much is (was) aviation accidents?,"{'answer_start': [250], 'text': ['0']}"
322,sustainable fuel,"Our airline has been working to increase the use of sustainable aviation fuel (SAF) in our operations. As of 2022, approximately 15% of our fuel comes from sustainable sources, and we are committed to continuing to increase this percentage in the coming years. We have also invested in research and development to help make SAF more widely available and cost-effective for the industry.",What percentage of your airline's fuel comes from sustainable sources?,"{'answer_start': [-1], 'text': ['0.15']}"
323,What percentage of the airline's waste is recycled?,"Alaska Airlines recycles approximately 40% of its waste, including paper, plastic, and aluminum. The airline has implemented various recycling programs at its airports and on its aircraft to reduce waste and increase recycling. Alaska Airlines has a goal to reduce its greenhouse gas emissions by 20% by 2025 and has implemented various sustainability measures to achieve this goal, such as the use of electric ground support equipment and sustainable fuels.",Recycling,"{'answer_start': [-1], 'text': ['0.4']}"
324,Aviation Safety Action Program,"In addition to our General Hazard Reporting and EthicsPoint Helpline, we have the Aviation Safety Action Program (ASAP), a voluntary and confidential mechanism for team members to report an incident without fear of retaliation. In 2017, we received more than 11,000 ASAP reports.",how much is (was) aviation safety action in 2017?,"{'answer_start': [-1], 'text': ['11000']}"
325,"Diversity, American Airlines","American Airlines is committed to promoting diversity, equity, and inclusion in their workforce. As of 2020, 49% of their global workforce are people of color, and they have set a goal of increasing the representation of women and people of color in leadership roles by 25% by 2025. They have also established employee resource groups and provide unconscious bias training for their employees.",What is the diversity of American Airlines' workforce?,"{'answer_start': [-1], 'text': ['0.49']}"
326,giving,"In 2016, the donations and in-kind (miles) donations is 23.5 (millions USD$)",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['23.5 millions']}"
327,controversy total count,"The controversy total count was 0.021474385.Another area of controversy for airlines is the issue of overbooking flights. While airlines argue that overbooking is necessary to maximize profits and ensure full planes, the practice has led to numerous incidents of passengers being bumped from flights and left stranded. Some have called for stricter regulations on overbooking to prevent such incidents from occurring.",what was the controversy total count for UNITED CONTINENTAL HOLDINGS INC? ,"{'answer_start': [32], 'text': ['0.021474385']}"
328,giving,"Nevertheless, in the two months to year-end 2006 Miles & More participants donated 18 million award miles for charitable purposes. And just two months later, these donations had already climbed to 25 million miles.",how much is (was) global giving?,"{'answer_start': [83], 'text': ['18 million']}"
329,modern slavery score,"Addressing modern slavery risks in supply chains is not just the responsibility of airlines, but also of governments, NGOs, and consumers. Collaboration and multi-stakeholder partnerships are essential to effectively address this complex and systemic issue.The modern slavery score is 8. ",what is the modern slavery score for SINGAPORE AIRLINES LTD?,"{'answer_start': [285], 'text': ['8']}"
330,What percentage of the airline's employees are unionized?,"Spirit Airlines employees are represented by the Transport Workers Union (TWU) and the International Association of Machinists and Aerospace Workers (IAMAW). The airline has a high unionization rate, with 80% of its employees represented by a union. Spirit Airlines has worked with its labor unions to negotiate fair wages, benefits, and working conditions for its employees. The airline has also implemented policies to support its workforce, including paid sick leave and a merit-based promotion system.",Labor Standards,"{'answer_start': [-1], 'text': ['0.8']}"
331,corruption,"At Southwest, we strive to maintain accountability and transparency of our business practices to reduce or eliminate corruption. We expect our Board of Directors and all Employees to acknowledge receipt and understanding of our Code of Ethics and Insider Trading Policy. We also employ robust auditing procedures to analyze and monitor business activities, which further enhance our ability to maintain high ethical standards. We continually review our systems to provide transparency and accountability, and we update our corporate governance policies when appropriate.",what does the airline do to eliminate corruption?,"{'answer_start': [-1], 'text': ['No answer exists']}"
332,Spills,"The Material is from table. Thus, the context is same from answer. Under environment compliance, In 2021, there were 256 records. In 2020, there were 212 records. In 2019, there were 429 records",how much is (was) Spills recorded?,"{'answer_start': [67], 'text': ['Under environment compliance, In 2021, there were 256 records']}"
333,damage / Aircraft ground damages,"The cost of ground damage forecast is based on direct costs, (including labour and material costs, temporary leasing costs, logistical expenses, and administrative costs); and indirect costs lost revenue, crew and passenger repositioning costs, compensation costs for delayed services etc.",how much is (was) aircraft ground damages?,"{'answer_start': [-1], 'text': ['No answer exists']}"
334,SAF,"Southwest Airlines has used over 7 million gallons of sustainable aviation fuel (SAF) since 2016. The airline is committed to increasing its use of SAF and has signed agreements to purchase SAF from suppliers such as Neste and World Energy. Southwest Airlines also invests in alternative technologies,",What is the sustainable aviation fuel usage of Southwest Airlines?,"{'answer_start': [33], 'text': ['7']}"
335,aviation accidents,"During 2014, we carried out a full-scale drill in conjunction with many federal and New York City agencies that required all of our Emergency Response Teams to respond to an aircraft accident at JFK. The exercise provided vital experience for our team members in setting up a Family Assistance Center and nearby Go Command Center, as well as coordinating a response with government agencies. It also helped us test our processes and procedures and identify areas for improvement.",how much is (was) aviation accidents?,"{'answer_start': [9], 'text': ['1']}"
336,damage / Aircraft ground damages,"The Ground Safety Program maintains the official organizational aircraft ground damage metrics and rates. The program also encompasses the following: • Conducts investigations of ground damage events and oversees the Blue Health and Safety Committees (BHSC) at BlueCities, • Oversees the frontline leadership audit program (Quality Control Audits) and conducts unannounced audits of BlueCities as required, • Facilitates the Airports Risk Working Group (ARWG and tracks and trends ground related JEMS safety reports to identify hazards and non-compliance issues.",how much is (was) aircraft ground damages?,"{'answer_start': [-1], 'text': ['No answer exists']}"
337,modern slavery score,"The modern slavery score is 8. The aviation industry has a unique opportunity to lead the way in addressing modern slavery risks in global supply chains. As one of the largest and most visible industries in the world, airlines have the power and influence to create positive change and drive ethical and sustainable practices across their supply chains.",what is the modern slavery score for UNITED CONTINENTAL HOLDINGS INC?,"{'answer_start': [28], 'text': ['8']}"
338,modern slavery score,"The modern slavery score is 10. Airlines can improve their modern slavery score by adopting a zero-tolerance policy towards modern slavery, implementing due diligence processes to identify and assess risks in their supply chains, and providing training to employees and suppliers on how to identify and prevent modern slavery.",what is the modern slavery score for AIR CANADA?,"{'answer_start': [28], 'text': ['10']}"
339,aviation accidents,"Unfortunately, in the airline industry, accidents can happen, and one airline recently experienced 4 mainline accidents. These incidents serve as a reminder of the ongoing safety risks faced by airlines and the importance of implementing effective safety protocols. As a result, airlines continue to invest in new technologies and training programs to ensure the safety of their passengers and crew members, minimizing the occurrence of accidents.",how much is (was) aviation mainline accidents?,"{'answer_start': [99], 'text': ['4']}"
340,REV PASS MILES,"The REV PASS MILES is 279.3358923.Rev Pass miles can also be a valuable source of revenue for airlines. While offering rewards can be costly, airlines can offset these costs by selling miles to credit card companies or other partners. This can provide airlines with a steady source of income that can help to support their operations.",What is the rev pass miles for DELTA AIR LINES?,"{'answer_start': [22], 'text': ['279.3358923']}"
341,aviation accidents,"Once again in 2020, JetBlue had no accidents as defined according to Annex 13 to the International Civil Aviation Organization Convention on International Civil Aviation. Additionally, JetBlue had no material government enforcement actions in 2020 from the FAA, the EASAi, or equivalent national authority relating to aviation safety, including but not limited to, maintenance, transportation of hazardous materials, drug testing, records and reports; training, and noise.",how much is (was) aviation accidents?,"{'answer_start': [32], 'text': ['no']}"
342,GHG Reduction,"American Airlines has set a goal of achieving net-zero carbon emissions by 2050, through a combination of fuel efficiency improvements, sustainable aviation fuel adoption, and carbon offsets. The airline has also committed to investing $25 million in a venture fund focused on developing low-carbon aviation technologies. In 2019, American Airlines reported a 2.71% reduction in its greenhouse gas emissions intensity compared to the previous year. The airline has also implemented several measures to reduce its waste, such as using compostable materials on board and partnering with a food recovery organization to donate unused food from its flights.",What is an airline's greenhouse gas emissions reduction target?,"{'answer_start': [-1], 'text': ['100% by 2050']}"
343,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1382.The aviation industry has set ambitious targets for reducing carbon emissions. In 2009, the industry set a target of achieving carbon-neutral growth by 2020. While this target has not been met, the industry has made progress in reducing carbon emissions and has set a new goal of reducing emissions by 50% by 2050 compared to 2005 levels.",What is the Scope 1+2 Carbon Emissions for AZUL?,"{'answer_start': [34], 'text': ['1382']}"
344,Nitrogen Oxides emissions,"In 2021, 65,001 tons of nitrogen oxide were emitted.",How many tons of Nitrogen Oxides emissions have been generated in 2021?,"{'answer_start': [9], 'text': ['65,001']}"
345,REV PASS MILES,"The REV PASS MILES is 268.3276425. Airlines can also use Rev Pass miles to drive customer engagement and loyalty beyond the traditional rewards program. For example, some airlines may offer exclusive experiences or events for loyalty program members, such as behind-the-scenes tours of airports or meet-and-greets with airline executives.",What is the rev pass miles for UNITED AIRLINES?,"{'answer_start': [22], 'text': ['268.3276425']}"
346,Renewable energy use,"Hawaiian Airlines has a goal to reduce its greenhouse gas emissions by 20% by 2025, compared to 2015 levels. To achieve this goal, the airline is increasing its use of renewable energy sources, such as solar power, and improving the energy efficiency of its operations. As of 2021, 4.4% of the airline's energy comes from renewable sources. Hawaiian Airlines is also investing in sustainable aviation fuels and using more fuel-efficient aircraft to reduce its carbon footprint.",What percentage of an airline's energy comes from renewable sources?,"{'answer_start': [-1], 'text': ['0.044']}"
347,Aviation Safety Action Program,"Total amount of monetary losses as a result of legal proceedings associated 
with anti-competitive behavior regulations. The number of governmental enforcement actions of aviation safety regulations is 0.",how much is (was) aviation safety action?,"{'answer_start': [121], 'text': ['The number of governmental enforcement actions of aviation safety regulations is 0.']}"
348,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 605.6759357.It is important to note that addressing scope 3 emissions is a complex challenge that requires collaboration across industries and stakeholders. While there is no one-size-fits-all solution, a multifaceted approach that combines innovation, collaboration, and sustainability initiatives can help the airline industry reduce its carbon footprint and create a more sustainable future.",What is the Scope 3Carbon Emissions for UNITED AIRLINES?,"{'answer_start': [31], 'text': ['605.6759357']}"
349,What percentage of the airline's fuel comes from sustainable sources?,"Southwest Airlines has committed to using sustainable aviation fuel (SAF) and currently uses a blend of SAF and conventional jet fuel. As of 2021, the airline sources approximately 5% of its fuel from sustainable sources. Southwest Airlines has a goal to reach net-zero carbon emissions by 2050 and has implemented various sustainability measures to achieve this goal.",Sustainable Fuel Use,"{'answer_start': [-1], 'text': ['0.05']}"
350,REV PASS MILES,"The REV PASS MILES is 392.0497147. Rev Pass miles can also be a valuable tool for budget-conscious travelers. By earning miles through credit card spending or other means, travelers can offset the cost of future travel and enjoy additional benefits and perks that may not be available to budget travelers.",What is the rev pass miles for BRITISH AIRWAYS?,"{'answer_start': [22], 'text': ['392.0497147']}"
351,modern slavery score,"The modern slavery score is 8. However, there is still a long way to go for many airlines to address modern slavery risks in their supply chains. The 2018 Global Slavery Index estimated that over 24.9 million people were in forced labor globally, and many of these individuals may be working in industries that supply airlines.",what is the modern slavery score for ALASKA AIR GROUP INC?,"{'answer_start': [28], 'text': ['8']}"
352,damage / Aircraft ground damages,"Damage to aircraft can happen on the ground when they are moving around an airport or being loaded and unloaded. Reducing this damage means fewer late departures and potential flight cancellations. Our Aircraft Ground Damage Rate increased slightly from 1.13 damages per 10,000 departures in 2013 to 1.29 in 2014. Over the year, we worked on a number of initiatives that we believe will allow us to reduce our rate in 2015.",how much is (was) aircraft ground damages?,"{'answer_start': [300], 'text': ['1.29']}"
353,Aviation Safety Action Program,"We must continually adapt to new laws and regulations. Legislative and regulatory changes have the potential to limit our opportunities for growth, and government policies and legislation can have a deep impact on how we do business. We present our views on these topics to a wide range of policymakers and Stakeholder groups through trade associations and interactions with public officials at the federal level and in the states and communities we serve. We participate in industry associations such as Airlines for America (A4A) and have developed our own public outreach programs such as our Key Contact Program, which features Days on the Hill. Our involvement allows us to gain insight into core issues for the airline industry as a whole and to advocate jointly for regulations that support a healthy, competitive industry. We also benefit from the opportunity to share technical expertise and operational knowledge that leads to better Customer Safety, Service, and overall efficiency.
Southwest has adopted a policy that it will primarily use its affiliated political action committee, the Southwest Airlines Co. Freedom Fund (Freedom Fund), which is financed through voluntary Employee contributions, to support political campaigns, and that Company funds will be limited to supporting selected political campaigns at the state and local level in compliance with the laws of the relevant states and localities. All political campaign contributions from the Freedom Fund or by the Company directly are approved by the Vice President of Governmental Affairs and overseen by Southwest Airlines’ Senior Vice President General Counsel, with an annual summary of those contributions provided to the Southwest Airlines Board of Directors. All political contributions are intended to promote the interests of the Company and are not guided by any private political preferences of any Employee. All contributions by the Freedom Fund are disclosed via publicly available reports filed monthly with the Federal Election Commission. The Company strives to comply with all applicable federal, state, and local campaign finance restrictions and disclosure requirements.",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['No answer exists']}"
354,giving,"We are proud of our long history of supporting charitable organizations and important causes, which has continued despite industry and economic challenges. The approximately 1,400 organizations we support contribute to society in many ways, and provide human health and education services, arts and entertainment, and support for large civic under takings.
We contributed more than $34 million to non-profit organizations in 2009 through in-kind contributions.
",how much is (was) global giving?,"{'answer_start': [382], 'text': ['$34 million']}"
355,waste,"Delta Airlines set a goal in 2021 to reduce their single-use plastics by 50% by 2025, aiming to reduce their overall waste and environmental impact.",What is the airline's waste reduction target?,"{'answer_start': [-1], 'text': ['0.5']}"
356,collective bargaining,88% of the workforce is protected under a collective bargaining agreement.,What percentage of the workforce is protected under a collective bargaining agreement?,"{'answer_start': [0], 'text': ['88%']}"
357,What percentage of the airline's fleet is comprised of fuel-efficient aircraft?,"United Airlines has a commitment to reducing its carbon footprint and has implemented various measures to improve the energy efficiency of its operations. The airline's fleet includes a mix of fuel-efficient aircraft, including the Boeing 787 Dreamliner and Airbus A320neo. In 2020, 75% of United Airlines' mainline fleet was comprised of fuel-efficient aircraft. The airline also invests in sustainable aviation fuels and has committed to reducing its greenhouse gas emissions by 100% by 2050.",Energy Efficiency,"{'answer_start': [-1], 'text': ['0.75']}"
358,controversy total count,"The controversy total count was 0.024395957.Airlines can be the subject of controversy for a variety of reasons, including safety concerns, labor disputes, customer service issues, and environmental impacts. Controversies can have a significant impact on an airline's reputation and public trust.",what was the controversy total count for American Airline? ,"{'answer_start': [32], 'text': ['0.024395957']}"
359,Waste reduction,"United Airlines is committed to reducing its waste and has implemented several initiatives to achieve this goal. The airline has replaced single-use plastic items, such as straws and stirrers, with sustainable alternatives, and is recycling more materials on its flights and in its operations. Additionally, United Airlines has implemented a pilot program to compost food waste from its flights. As of 2021, the airline's waste per passenger per flight has been reduced to 16.6 grams, a 41% decrease from its 2010 baseline.",How does an airline reduce its waste?,"{'answer_start': [-1], 'text': ['16.6 grams of waste per passenger per flight']}"
360,Fines Amount,"The fines amount was 0.008530861. Airlines may be subject to fines and penalties for a variety of reasons, including safety violations, environmental violations, and non-compliance with regulatory requirements. Fines can range in amount from a few hundred dollars to millions of dollars, depending on the severity of the violation and other factors.",what is the fines amount for Singapore Airlines?,"{'answer_start': [21], 'text': ['0.008530861']}"
361,fuel usage,"In 2021, 4,324,746 tons of fuel were burned.",How many tons of fuel were burned in 2021?,"{'answer_start': [9], 'text': ['4,324,746']}"
362,aviation accidents,"Consequently, accidents occur only rarely, and most of those on the way to or from work – off company premises.",how much is (was) aviation accidents?,"{'answer_start': [0], 'text': ['Consequently, accidents occur only rarely, and most of those on the way to or from work – off company premises.']}"
363,Aviation Safety Action Program,Number of govermental enforcement actions of aciation safety regulations: 0.,how much is (was) aviation safety action in 2020?,"{'answer_start': [74], 'text': ['0']}"
364,aircraft certified / Chapter 5 noise limits,"In 2018, we announced the selection of the Airbus A220 aircraft to eventually replace our existing Embraer E190 aircraft. Despite the pandemic that disrupted much of 2020, we stood committed to upgrading our fleet and improving fuel efficiency while reducing emissions. This past year, we took delivery of the first of our 70 new A220 fleet, a major milestone for JetBlue and the future of our airline. The A220 has an estimated 40 percent lower fuel burn per seat than the E190. We expect to continue taking delivery of these aircrafts through 2025 and began revenue flights on our first A220 in 2021.
The A220 is powered by Pratt & Whitney geared turbofan engines, one of the most quiet, fuel efficient, and modern engines on the market, and features aerodynamic-enhancing Sharklets on the wings. This results in an approximated 20% lower fuel burn per seat, a reduction of 5,000 tons CO2 per year, and a 50% reduction in noise for our customers, crewmembers, and communities served. Engines have a long lifespan, and it’s essential that we get the most up to date technology available today to power us well into the future.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['No answer exists']}"
365,SGD Revenue,"SGD Revenue is 0 %.Competition is also a key factor that can impact SGD revenue for airlines. The airline industry in Singapore is highly competitive, with multiple airlines vying for market share. Airlines must be able to differentiate themselves from their competitors and offer unique services in order to attract customers and generate revenue.",what is the SGD Revenue % for UNITY 1 SUKUK LTD?,"{'answer_start': [15], 'text': ['0']}"
366,modern slavery score,"The modern slavery score is 8. In addition to the ethical imperative of preventing modern slavery, addressing these risks can also lead to business benefits for airlines. For example, a more transparent and responsible supply chain can enhance brand reputation, reduce legal and financial risks, and improve relationships with customers and stakeholders.",what is the modern slavery score for HAWAIIAN AIRLINES INC?,"{'answer_start': [28], 'text': ['8']}"
367,aviation accidents,"In 2021, we also experienced an increase in accidents in our mainline operations; five of the six recorded accidents were due to turbulence that caused crewmember injuries.",how much is (was) aviation accidents?,"{'answer_start': [-1], 'text': ['6']}"
368,REV PASS MILES,"The REV PASS MILES is 119.0578649.Another benefit of Rev Pass miles is that they can be used to offset the cost of business travel. Many companies have travel policies that require employees to book flights on certain airlines or within certain price ranges. By earning Rev Pass miles through frequent travel, employees can earn rewards that can be used to offset the cost of future business trips.",What is the rev pass miles for AZUL?,"{'answer_start': [22], 'text': ['119.0578649']}"
369,Waste,"DEF airline has implemented a comprehensive waste management program that includes recycling, composting, and waste reduction efforts. As part of this program, the airline recycles approximately 200 tons of waste annually, which includes items such as paper, plastic, and aluminum cans. The airline has also implemented measures to reduce single-use plastics on its flights and is exploring other ways to reduce its overall waste generation.",How much waste does DEF airline recycle annually?,"{'answer_start': [195], 'text': ['200 tons']}"
370,training session,"In 2021, more than 62000 employees completed at least one of four DEI trainings, and nearly 30% of officers participated in a two-day racial equity leadership workshop.",How many employees have undertaken the training sessions in 2021?,"{'answer_start': [9], 'text': ['more than 62000']}"
371,Scope 1+2 Carbon Emissions,"While there is no single solution to the problem of carbon emissions from airlines, a combination of initiatives will be needed to make significant progress. This includes investing in more fuel-efficient aircraft, using sustainable aviation fuels, improving air traffic management systems, and implementing policies and incentives to encourage airlines to reduce their emissions.The Scope 1+2 Carbon Emissions is 1076.2.",What is the Scope 1+2 Carbon Emissions for EASYJET?,"{'answer_start': [414], 'text': ['1076.2']}"
372,waste reduction,"Our airline is committed to reducing our waste and improving our recycling practices. We have set a goal to achieve a 50% reduction in single-use plastics on our flights and in our operations by 2025, and we are exploring alternative materials and solutions to achieve this goal. We also have robust recycling programs in place for paper, plastic, and other materials, and we encourage our customers to participate in these efforts.",What is your airline doing to reduce waste and improve recycling?,"{'answer_start': [118], 'text': ['50% reduction in single-use plastics']}"
373,controversy total count,"Labor disputes can also be a significant source of controversy in the airline industry. This can include strikes, disputes over working conditions, and other issues related to employee rights and benefits. These disputes can impact airline operations and lead to negative publicity and public criticism.The controversy total count was 0.028420866.",what was the controversy total count for  Air Canada? ,"{'answer_start': [335], 'text': ['0.028420866']}"
374,Water Intensity,"In 2019, Alaska Airlines reported a water intensity of 2.25 gallons per available seat mile. The airline has set a goal of reducing its water intensity by 20% by 2020. Alaska has implemented several measures to conserve water, such as using water-efficient fixtures in its facilities and providing passengers with compostable cups made from recycled materials. Additionally, the airline has partnered with a non-profit organization to implement water conservation projects in the areas it serves. Alaska has set a goal of achieving carbon neutrality for its global operations by 2040.",What is an airline's water intensity per available seat mile?,"{'answer_start': [55], 'text': ['2.25 gallons']}"
375,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 285.0794675. The aviation industry is also exploring new technologies and innovations that can help reduce scope 3 emissions. For example, some airlines are exploring the use of electric or hybrid-electric ground vehicles for passenger transportation to and from the airport.",What is the Scope 3Carbon Emissions for DELTA AIR LINES?,"{'answer_start': [31], 'text': ['285.0794675']}"
376,Carbon footprint,"Delta Air Lines, a major US airline, announced that it would achieve carbon neutrality for its global operations starting in March 2020. The airline has set a goal to reduce its carbon emissions by 50% by 2050. As of 2019, Delta's carbon footprint per passenger was approximately 0.5 tons, down from 0.62 tons in 2012. The airline has achieved this reduction through measures such as investing in fuel-efficient aircraft and sustainable aviation fuels, and improving operational efficiency.",What is the airline's carbon footprint per passenger?,"{'answer_start': [280], 'text': ['0.5 tons']}"
377,giving,"That report, which can be found on our JetBlue for Good website, focuses on its corporate responsibility and impact through community partnerships; corporate giving; diversity, equity and inclusion; safety; and employment and relevant human resources data.",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['No answer exists']}"
378,modern slavery score,"The modern slavery score is 8. In conclusion, the modern slavery score is an important tool for airlines to measure and improve their efforts to prevent and address modern slavery risks in their supply chains. By adopting proactive policies and procedures, collaborating with stakeholders, and leveraging technology and data analytics, airlines can help to create a more ethical and sustainable aviation industry.",what is the modern slavery score for DEUTSCHE LUFTHANSA AG?,"{'answer_start': [28], 'text': ['8']}"
379,REV PASS MILES,"The REV PASS MILES is 251.5630997.Rev Pass miles are a type of loyalty program offered by many airlines, designed to reward frequent flyers with additional benefits and perks. These miles can be earned by flying on the airline or using a credit card linked to the program.",What is the rev pass miles for AMERICAN AIRLINES?,"{'answer_start': [22], 'text': ['251.5630997']}"
380,waste,"As part of its sustainability efforts, one airline has taken steps to reduce the amount of waste it generates. However, in 2021, the airline reported generating 24253 units of waste, which it considers a significant figure. To minimize waste, the airline has implemented measures such as reducing single-use plastics and investing in more sustainable materials for in-flight amenities. By prioritizing waste reduction, the airline is taking a proactive approach to creating a more sustainable future for the aviation industry and minimizing its environmental impact.",How many waste was generated in the year of 2021?,"{'answer_start': [-1], 'text': ['24,253']}"
